postcode_district,count.of.rents,mean,lower.quartile,median,upper.quartile
BR1,150,1254,1150,1250,1350
BR2,170,1259,1100,1250,1350
BR3,170,1265,1150,1268,1350
BR4,10,1074,898,1125,1200
BR5,50,1097,1000,1100,1150
BR6,40,1211,1100,1195,1300
BR7,50,1300,1150,1250,1400
CR0,160,1182,1100,1195,1250
CR2,30,1105,1023,1100,1200
CR4,50,1204,1100,1250,1350
CR5,10,1163,1100,1200,1295
CR7,40,1170,1100,1200,1250
CR8,20,1287,1100,1250,1575
DA1,40,981,900,938,1050
DA14,30,1120,1000,1100,1200
DA15,20,1141,1050,1163,1213
DA16,30,1121,1050,1100,1200
DA17,40,1038,995,1000,1075
DA5,30,1068,995,1050,1200
DA6,40,1153,1050,1150,1250
DA7,70,1013,925,1000,1100
DA8,70,1008,925,1000,1075
E1,220,2120,1700,1900,2249
E10,100,1284,1200,1300,1400
E11,180,1308,1225,1300,1400
E12,40,1248,1175,1250,1338
E13,60,1262,1200,1300,1350
E14,480,1849,1577,1740,2000
E15,240,1513,1400,1475,1550
E16,290,1565,1400,1575,1666
E17,270,1373,1250,1350,1450
E18,100,1310,1250,1300,1375
E1W,150,2004,1690,1863,2249
E2,180,1855,1647,1833,2000
E20,10,1907,1842,1900,2000
E3,220,1596,1500,1560,1690
E4,200,1287,1200,1295,1378
E5,50,1648,1430,1650,1800
E6,60,1266,1188,1250,1350
E7,70,1266,1200,1263,1375
E8,210,1755,1450,1777,2015
E9,60,1692,1462,1603,1950
EC1M,20,2616,2383,2600,2708
EC1N,20,2562,2250,2600,2817
EC1R,30,2348,2253,2329,2492
EC1V,110,2624,2297,2687,2817
EC1Y,20,2682,2275,2578,2968
EC2A,20,2788,2297,2600,3033
EC2Y,10,2584,2221,2383,2817
EN1,20,1237,1200,1300,1350
EN2,30,1358,1150,1298,1400
EN3,10,1271,1280,1300,1340
EN4,70,1235,1100,1200,1350
EN5,90,1286,1200,1250,1400
HA0,90,1364,1250,1350,1450
HA1,190,1334,1250,1300,1391
HA2,140,1257,1200,1250,1325
HA3,210,1287,1200,1300,1352
HA4,40,1280,1200,1265,1400
HA5,150,1304,1200,1275,1375
HA6,150,1300,1200,1300,1450
HA7,60,1370,1275,1350,1450
HA8,120,1342,1250,1350,1425
HA9,150,1418,1325,1400,1500
IG1,90,1231,1175,1200,1300
IG11,170,1211,1150,1200,1300
IG2,60,1242,1200,1250,1300
IG3,50,1178,1100,1150,1250
IG4,10,1224,1150,1193,1250
IG5,10,1158,1100,1150,1275
IG6,40,1167,1100,1200,1250
IG8,60,1382,1200,1298,1498
KT1,70,1408,1250,1339,1500
KT2,90,1468,1250,1400,1600
KT3,30,1224,1040,1208,1275
KT4,10,1298,1200,1263,1400
KT5,10,1199,1150,1200,1275
KT6,30,1308,1200,1300,1395
N1,490,2168,1842,2102,2383
N10,100,1599,1350,1499,1625
N11,120,1411,1300,1400,1500
N12,90,1351,1250,1300,1450
N13,30,1336,1150,1374,1452
N14,70,1345,1250,1300,1400
N15,80,1458,1400,1475,1510
N16,120,1640,1500,1603,1733
N17,20,1408,1275,1400,1550
N18,10,1197,953,1100,1447
N19,120,1649,1499,1625,1733
N1C,10,2835,2687,2773,3033
N2,140,1441,1325,1400,1500
N20,60,1462,1156,1300,1463
N21,10,1312,1300,1300,1374
N22,40,1360,1300,1350,1450
N3,170,1430,1300,1400,1549
N4,180,1641,1495,1625,1799
N5,110,2007,1798,1993,2167
N6,40,1914,1690,1775,1993
N7,270,1779,1560,1729,1950
N8,200,1606,1450,1580,1768
NW1,470,2315,1885,2167,2578
NW10,300,1570,1450,1560,1690
