pidp,wave,sex,age,partner,degree,inc4,owner,gor_dv
68004087,Wave 3,male,61,No partner,Degree,2,Owner,North East
68006127,Wave 3,female,41,No partner,No degree,2,Not owner,North East
68006139,Wave 3,female,16,No partner,No degree,Lowest 25%,Not owner,North East
68006135,Wave 3,female,19,No partner,Degree,3,Not owner,North East
68006807,Wave 3,female,74,No partner,No degree,2,Owner,North East
68007487,Wave 3,female,59,Partner,Degree,Lowest 25%,Owner,North East
68008847,Wave 3,female,53,No partner,No degree,3,Owner,North East
68009527,Wave 3,male,33,No partner,Degree,Highest 25%,Owner,North East
68068082,Wave 3,male,50,No partner,No degree,3,Owner,North East
68010887,Wave 3,female,47,No partner,Degree,Highest 25%,Owner,North East
68019051,Wave 3,female,28,Partner,Degree,3,Not owner,North East
68019047,Wave 3,male,28,Partner,Degree,Highest 25%,Not owner,North East
68020407,Wave 3,female,74,No partner,No degree,2,Owner,North East
68025847,Wave 3,female,75,No partner,No degree,3,Not owner,North East
68028579,Wave 3,female,18,No partner,No degree,Lowest 25%,Not owner,North East
68029931,Wave 3,male,42,Partner,No degree,Highest 25%,Owner,North East
68029927,Wave 3,female,39,Partner,No degree,2,Owner,North East
68031967,Wave 3,female,63,No partner,No degree,2,Not owner,North East
68224484,Wave 3,male,30,No partner,No degree,Highest 25%,Owner,North East
68035367,Wave 3,male,30,No partner,Degree,Highest 25%,Owner,North East
68036727,Wave 3,male,79,No partner,No degree,2,Not owner,North East
68037407,Wave 3,female,42,No partner,No degree,3,Not owner,North East
68040127,Wave 3,female,82,No partner,No degree,2,Owner,North East
68041487,Wave 3,female,41,Partner,Degree,Highest 25%,Owner,North East
68041491,Wave 3,male,37,Partner,No degree,Highest 25%,Owner,North East
68042171,Wave 3,female,40,Partner,Degree,Highest 25%,Owner,North East
68042167,Wave 3,male,41,Partner,Degree,Highest 25%,Owner,North East
68043527,Wave 3,male,57,No partner,No degree,3,Owner,North East
68044211,Wave 3,male,38,Partner,Degree,2,Owner,North East
68044207,Wave 3,female,35,Partner,Degree,2,Owner,North East
68044887,Wave 3,female,64,Partner,No degree,Lowest 25%,Not owner,North East
68044891,Wave 3,male,64,Partner,No degree,2,Not owner,North East
68045571,Wave 3,male,51,Partner,No degree,Highest 25%,Owner,North East
68045567,Wave 3,female,49,Partner,Degree,Highest 25%,Owner,North East
68046247,Wave 3,male,68,Partner,No degree,3,Owner,North East
68046251,Wave 3,female,65,Partner,No degree,Lowest 25%,Owner,North East
68046927,Wave 3,female,38,Partner,No degree,3,Owner,North East
68046931,Wave 3,male,40,Partner,No degree,Highest 25%,Owner,North East
68048287,Wave 3,male,64,No partner,No degree,2,Owner,North East
68049659,Wave 3,female,22,No partner,No degree,Lowest 25%,Not owner,North East
