Local_Authority,Ward_code,Eth_tot,White_British,Other_White,Mixed,Indian,Pakistani,Bangladeshi,Chinese,African,Caribbean,Other,p_White_British,p_Other_White,p_Mixed,p_Indian,p_Pakistani,p_Bangladeshi,p_Chinese,p_African,p_Caribbean,p_Other
Blackburn with Darwen,E36000156,9183,2245,217,144,3137,2668,269,28,72,12,391,24.44734836,2.36306218,1.568114995,34.16094958,29.05368616,2.929325928,0.304911249,0.784057498,0.13067625,4.257867799
Blackburn with Darwen,E36000157,7699,599,132,110,2638,3563,324,31,33,3,266,7.780231199,1.714508378,1.428756981,34.26419015,46.2787375,4.208338745,0.402649695,0.428627094,0.038966099,3.454994155
Blackburn with Darwen,E36000158,5997,3643,114,88,1189,695,47,34,23,6,158,60.74704019,1.900950475,1.467400367,19.82657996,11.5891279,0.783725196,0.566950142,0.383525096,0.100050025,2.634650659
Blackburn with Darwen,E36000159,7353,2196,166,99,1791,2647,195,16,11,4,228,29.86536108,2.257581939,1.346389229,24.35740514,35.99891201,2.651978784,0.217598259,0.149598803,0.054399565,3.100775194
Blackburn with Darwen,E36000160,4339,4021,103,44,31,69,3,7,9,3,49,92.67112238,2.373818852,1.014058539,0.714450334,1.590228163,0.069140355,0.161327495,0.207421065,0.069140355,1.129292464
Blackburn with Darwen,E36000161,1924,1872,18,11,10,0,0,3,0,1,9,97.2972973,0.935550936,0.571725572,0.51975052,0,0,0.155925156,0,0.051975052,0.467775468
Blackburn with Darwen,E36000162,6927,6190,198,117,75,145,25,33,44,11,89,89.36047351,2.858380251,1.689042876,1.082719792,2.093258265,0.360906597,0.476396709,0.635195611,0.158798903,1.284827487
Blackburn with Darwen,E36000163,5928,5619,71,52,50,36,27,29,2,10,32,94.78744939,1.197705803,0.877192982,0.843454791,0.607287449,0.455465587,0.489203779,0.033738192,0.168690958,0.539811066
Blackburn with Darwen,E36000164,7840,6939,290,80,155,78,86,36,45,18,113,88.50765306,3.698979592,1.020408163,1.977040816,0.994897959,1.096938776,0.459183673,0.573979592,0.229591837,1.441326531
Blackburn with Darwen,E36000165,6752,2803,133,109,2277,1126,130,29,22,4,119,41.51362559,1.96978673,1.614336493,33.72334123,16.67654028,1.92535545,0.42950237,0.325829384,0.059241706,1.762440758
Blackburn with Darwen,E36000166,6648,6444,86,41,30,1,2,13,6,2,23,96.93140794,1.293622142,0.616726835,0.451263538,0.015042118,0.030084236,0.195547533,0.090252708,0.030084236,0.345968712
Blackburn with Darwen,E36000167,6415,6028,154,55,17,67,13,26,11,9,35,93.96726422,2.400623539,0.857365549,0.265003897,1.044427124,0.202650039,0.405300078,0.17147311,0.140296181,0.545596259
Blackburn with Darwen,E36000168,5743,5446,112,51,22,14,5,26,17,11,39,94.82848685,1.950200244,0.888037611,0.383075048,0.24377503,0.087062511,0.452725057,0.296012537,0.191537524,0.679087585
Blackburn with Darwen,E36000169,6387,5586,237,87,142,139,21,24,43,5,103,87.45890089,3.710662283,1.362141851,2.223266009,2.1762956,0.32879286,0.375763269,0.673242524,0.078284014,1.612650697
Blackburn with Darwen,E36000170,4345,4216,65,32,11,4,1,5,0,1,10,97.0310702,1.495972382,0.736478711,0.253164557,0.092059839,0.02301496,0.115074799,0,0.02301496,0.230149597
Blackburn with Darwen,E36000171,6798,2676,231,129,1863,1375,87,90,29,19,299,39.36451898,3.398058252,1.897616946,27.40511915,20.22653722,1.279788173,1.3239188,0.426596058,0.279493969,4.398352457
Blackburn with Darwen,E36000172,6122,4477,147,99,667,567,42,24,17,6,76,73.12969618,2.401176086,1.617118589,10.89513231,9.26167919,0.68605031,0.392028749,0.27768703,0.098007187,1.241424371
Blackburn with Darwen,E36000173,8511,6568,408,106,468,645,25,22,49,25,195,77.17072024,4.793796264,1.245447068,5.498766302,7.578427917,0.293737516,0.258489014,0.575725532,0.293737516,2.291152626
Blackburn with Darwen,E36000174,7908,1197,116,106,4323,1686,66,59,22,13,320,15.13657056,1.466868993,1.34041477,54.66616085,21.32018209,0.834597876,0.746079919,0.278199292,0.164390491,4.046535154
Blackburn with Darwen,E36000175,7030,6179,265,78,65,263,15,68,30,17,50,87.89473684,3.769559033,1.109530583,0.924608819,3.741109531,0.213371266,0.967283073,0.426742532,0.241820768,0.711237553
Blackburn with Darwen,E36000176,6183,5734,123,40,34,135,9,50,4,4,50,92.738153,1.98932557,0.646935145,0.549894873,2.183406114,0.145560408,0.808668931,0.064693514,0.064693514,0.808668931
Blackburn with Darwen,E36000177,7378,3542,424,118,781,1856,132,49,122,13,341,48.00759013,5.746814855,1.599349417,10.58552453,25.1558688,1.789102738,0.664136622,1.653564652,0.176199512,4.621848739
Blackburn with Darwen,E36000178,4079,3924,55,27,15,22,1,19,3,5,8,96.20004903,1.348369698,0.661926943,0.36773719,0.539347879,0.024515813,0.465800441,0.073547438,0.122579063,0.196126502
Bradford,E36006927,15360,14467,277,199,121,81,2,34,21,27,131,94.18619792,1.803385417,1.295572917,0.787760417,0.52734375,0.013020833,0.221354167,0.13671875,0.17578125,0.852864583
Bradford,E36006928,18294,16798,557,273,90,126,17,61,54,65,253,91.82245545,3.044714114,1.492292555,0.491964579,0.68875041,0.092926643,0.333442659,0.295178747,0.355307751,1.382967093
Bradford,E36006929,17895,16603,260,291,133,324,25,34,46,33,146,92.78010617,1.45291981,1.626152557,0.743224364,1.810561609,0.139703828,0.189997206,0.257055043,0.184409053,0.815870355
