Local_Authority,OA_code,NSSEC_tot,NSSEC_1HigherManProf,NSSEC_2LowerManProf,NSSEC_3Intermediate,NSSEC_4SmallAccount,NSSEC_5LowerSupTech,NSSEC_6SemiRoutine,NSSEC_7Routine,NSSEC_8NoneUnemp,NSSEC_9UnClassif
Blackburn with Darwen,E00063395,165,3,12,13,9,10,36,58,19,5
Blackburn with Darwen,E00063397,536,13,56,71,96,39,83,125,41,12
Blackburn with Darwen,E00063398,557,11,50,14,64,46,136,159,70,7
Blackburn with Darwen,E00063399,328,11,49,34,27,32,75,53,40,7
Blackburn with Darwen,E00063400,332,1,10,35,52,21,59,94,36,24
Blackburn with Darwen,E00063401,606,7,22,52,186,39,92,124,76,8
Blackburn with Darwen,E00063402,334,0,27,17,14,33,80,83,63,17
Blackburn with Darwen,E00063403,408,27,95,46,56,32,78,54,17,3
Blackburn with Darwen,E00063404,424,24,51,8,33,40,84,99,76,9
Blackburn with Darwen,E00063405,427,20,32,27,70,29,78,107,64,0
Blackburn with Darwen,E00063406,377,8,51,50,75,13,50,87,41,2
Blackburn with Darwen,E00063407,403,19,15,45,36,31,91,82,82,2
Blackburn with Darwen,E00063408,298,10,8,57,33,24,37,76,53,0
Blackburn with Darwen,E00063409,337,15,26,26,57,38,67,68,40,0
Blackburn with Darwen,E00063410,404,31,19,38,102,20,57,85,52,0
Blackburn with Darwen,E00063411,392,27,35,32,49,23,113,78,27,8
Blackburn with Darwen,E00063412,349,9,21,19,44,30,95,76,47,8
Blackburn with Darwen,E00063413,236,7,31,29,7,18,59,68,14,3
Blackburn with Darwen,E00063414,305,20,31,51,47,39,58,51,7,1
Blackburn with Darwen,E00063415,228,7,17,10,11,26,51,100,6,0
Blackburn with Darwen,E00063416,207,7,9,30,7,22,48,59,25,0
Blackburn with Darwen,E00063417,384,15,33,45,83,30,66,60,45,7
Blackburn with Darwen,E00063418,295,8,31,7,42,21,93,79,14,0
Blackburn with Darwen,E00063419,458,17,52,36,59,39,82,86,81,6
Blackburn with Darwen,E00063420,412,3,54,51,68,26,74,104,32,0
Blackburn with Darwen,E00063421,477,27,27,36,86,39,70,132,60,0
Blackburn with Darwen,E00063422,567,23,21,13,123,83,67,90,124,23
Blackburn with Darwen,E00063423,420,16,34,32,35,50,81,133,30,9
Blackburn with Darwen,E00063425,296,9,40,4,58,30,52,54,45,4
Blackburn with Darwen,E00063426,525,29,61,48,89,32,111,105,40,10
Blackburn with Darwen,E00063427,434,23,20,32,77,40,79,112,48,3
Blackburn with Darwen,E00063428,574,44,76,54,85,54,133,103,25,0
Blackburn with Darwen,E00063429,524,13,29,37,116,34,103,128,64,0
Blackburn with Darwen,E00063430,302,4,19,36,69,33,51,58,28,4
Blackburn with Darwen,E00063431,433,30,49,58,49,16,76,88,59,8
Blackburn with Darwen,E00063432,558,36,58,82,107,21,107,109,35,3
Blackburn with Darwen,E00063433,527,37,49,56,86,25,112,80,78,4
Blackburn with Darwen,E00063434,503,34,13,47,69,27,89,108,86,30
Blackburn with Darwen,E00063435,425,110,112,45,94,19,19,11,6,9
Blackburn with Darwen,E00063436,412,117,121,18,91,26,20,11,0,8
Blackburn with Darwen,E00063437,391,76,96,31,89,34,37,27,0,1
Blackburn with Darwen,E00063438,345,78,102,27,68,25,38,7,0,0
Blackburn with Darwen,E00063439,347,65,85,58,62,23,31,22,1,0
Blackburn with Darwen,E00063440,244,38,60,28,58,18,24,10,4,4
Blackburn with Darwen,E00063441,357,78,88,51,50,33,34,15,6,2
Blackburn with Darwen,E00063443,308,47,99,51,40,22,25,17,3,4
Blackburn with Darwen,E00063444,418,83,122,40,81,20,17,41,7,7
Blackburn with Darwen,E00063445,319,53,76,40,26,36,71,13,4,0
Blackburn with Darwen,E00063446,329,66,110,44,43,22,26,12,6,0
Blackburn with Darwen,E00063447,362,84,90,27,89,25,18,25,4,0
Blackburn with Darwen,E00063448,384,114,94,37,78,13,14,29,5,0
Blackburn with Darwen,E00063449,350,59,79,48,68,31,29,22,5,9
Blackburn with Darwen,E00063450,269,44,56,39,45,20,31,23,9,2
Blackburn with Darwen,E00063451,345,45,74,22,80,26,40,36,16,6
Blackburn with Darwen,E00063452,449,80,122,65,56,27,35,41,15,8
Blackburn with Darwen,E00063453,461,40,38,34,116,61,42,85,33,12
Blackburn with Darwen,E00063454,385,47,69,43,89,41,57,28,11,0
Blackburn with Darwen,E00063455,442,39,50,29,105,28,61,79,40,11
Blackburn with Darwen,E00063456,261,9,42,15,50,18,64,45,17,1
Blackburn with Darwen,E00063457,348,7,44,47,58,17,73,59,40,3
Blackburn with Darwen,E00063458,521,25,38,37,107,31,111,92,49,31
Blackburn with Darwen,E00063459,380,109,45,36,97,23,14,20,32,4
Blackburn with Darwen,E00063460,543,42,57,58,151,25,80,117,9,4
Blackburn with Darwen,E00063461,486,41,81,47,116,22,80,69,19,11
Blackburn with Darwen,E00063462,301,14,37,38,74,21,52,44,19,2
Blackburn with Darwen,E00063463,341,42,99,48,53,12,43,39,5,0
Blackburn with Darwen,E00063464,302,29,70,46,59,22,40,28,3,5
Blackburn with Darwen,E00063465,449,17,79,62,55,31,70,68,31,36
Blackburn with Darwen,E00063466,432,33,74,53,78,34,75,53,21,11
Blackburn with Darwen,E00063467,295,30,57,47,42,27,53,25,5,9
Blackburn with Darwen,E00063468,389,31,45,50,31,11,99,82,19,21
Blackburn with Darwen,E00063469,290,7,45,24,24,26,65,70,24,5
Blackburn with Darwen,E00063470,270,1,43,28,16,32,63,64,19,4
Blackburn with Darwen,E00063471,306,15,70,42,35,14,46,70,14,0
Blackburn with Darwen,E00063472,303,50,73,28,29,35,51,33,4,0
Blackburn with Darwen,E00063473,227,4,31,17,40,24,43,50,14,4
