Local_Authority,Ward_code,Ward_name,NSSEC_tot,NSSEC_1HigherManProf,NSSEC_2LowerManProf,NSSEC_3Intermediate,NSSEC_4SmallAccount,NSSEC_5LowerSupTech,NSSEC_6SemiRoutine,NSSEC_7Routine,NSSEC_8NoneUnemp,NSSEC_9UnClassif
Blackburn with Darwen,E36000156,Audley,8999,349,782,793,1307,691,1839,2071,1039,128
Blackburn with Darwen,E36000157,Bastwell,7699,386,658,653,1281,608,1419,1631,959,104
Blackburn with Darwen,E36000158,Beardwood with Lammack,5948,1327,1593,638,1135,388,452,302,62,51
Blackburn with Darwen,E36000159,Corporation Park,7130,680,1121,777,1417,477,1089,1010,384,175
Blackburn with Darwen,E36000160,Earcroft,4197,250,699,450,444,458,818,800,229,49
Blackburn with Darwen,E36000161,East Rural,1924,352,498,185,322,198,188,146,19,16
Blackburn with Darwen,E36000162,Ewood,6880,432,1138,736,600,669,1429,1370,378,128
Blackburn with Darwen,E36000163,Fernhurst,5904,883,1587,742,782,729,635,463,39,44
Blackburn with Darwen,E36000164,Higher Croft,7693,609,1311,729,552,831,1375,1684,492,110
Blackburn with Darwen,E36000165,Little Harwood,6708,382,929,761,1035,667,1092,1196,523,123
Blackburn with Darwen,E36000166,Livesey with Pleasington,6611,1032,1822,754,822,729,706,638,64,44
Blackburn with Darwen,E36000167,Marsh House,6415,647,1291,763,768,818,960,928,137,103
Blackburn with Darwen,E36000168,Meadowhead,5694,418,1004,598,438,778,1074,987,330,67
Blackburn with Darwen,E36000169,Mill Hill,6367,259,834,679,511,682,1406,1414,441,141
Blackburn with Darwen,E36000170,North Turton with Tockholes,4345,1123,1374,373,814,171,235,228,25,2
Blackburn with Darwen,E36000171,Queen's Park,6749,582,836,580,1042,584,1222,1268,510,125
Blackburn with Darwen,E36000172,Roe Lee,6122,731,1431,717,817,663,855,674,172,62
Blackburn with Darwen,E36000173,Shadsworth with Whitebirk,8416,260,805,681,663,880,1872,2180,914,161
Blackburn with Darwen,E36000174,Shear Brow,7698,604,1107,764,1361,511,1250,1285,704,112
Blackburn with Darwen,E36000175,Sudell,6959,377,847,601,814,741,1460,1479,535,105
Blackburn with Darwen,E36000176,Sunnyhurst,6171,635,1306,789,734,655,965,816,201,70
Blackburn with Darwen,E36000177,Wensley Fold,7144,297,723,586,949,684,1540,1497,701,167
Blackburn with Darwen,E36000178,Whitehall,4054,506,992,504,583,341,551,472,82,23
Bradford,E36006927,Baildon,15274,2844,4228,1916,2150,1103,1456,1228,279,70
Bradford,E36006928,Bingley,18200,3379,5067,2405,2175,1310,1636,1626,359,243
Bradford,E36006929,Bingley Rural,17791,2763,4837,2150,2508,1399,1941,1737,294,162
Bradford,E36006930,Bolton and Undercliffe,16275,1096,2969,2105,2251,1702,2700,2378,870,204
Bradford,E36006931,Bowling and Barkerend,20505,857,2077,1668,2976,2192,3487,4168,2587,493
Bradford,E36006932,Bradford Moor,21019,716,1961,1425,4299,1978,3436,3968,2895,341
Bradford,E36006933,City,20949,924,1946,1358,3203,1574,2905,3744,2514,2781
Bradford,E36006934,Clayton and Fairweather Green,16270,1349,3191,1793,2099,1507,2529,2625,950,227
Bradford,E36006935,Craven,16066,2680,4234,1713,2535,1299,1652,1681,189,83
Bradford,E36006936,Eccleshill,17945,1049,2857,2225,1844,2001,3391,3219,1144,215
Bradford,E36006937,Great Horton,17582,1047,2305,1784,2641,1547,2881,3255,1677,445
Bradford,E36006938,Heaton,16809,1555,2962,1473,3373,1188,2063,2368,1451,376
Bradford,E36006939,Idle and Thackley,15994,2449,4236,2069,1922,1400,1760,1681,340,137
Bradford,E36006940,Ilkley,14455,4438,4555,1258,1735,561,1029,642,179,58
Bradford,E36006941,Keighley Central,18037,1121,2170,1265,3791,1710,2578,3398,1682,322
Bradford,E36006942,Keighley East,16697,1826,3427,1780,2599,1487,2274,2486,611,207
Bradford,E36006943,Keighley West,16510,1012,2619,1831,1628,1891,3062,3405,887,175
Bradford,E36006944,Little Horton,21496,869,1910,1545,3172,1829,3601,4895,3046,629
Bradford,E36006945,Manningham,19649,901,1708,1142,3905,1889,2962,3781,2858,503
Bradford,E36006946,Queensbury,16180,1930,3684,2141,2103,1604,2173,1901,466,178
Bradford,E36006947,Royds,17182,1032,2765,1984,1669,1799,3120,3441,1150,222
Bradford,E36006948,Shipley,15265,2588,4156,1914,1643,1157,1704,1503,472,128
Bradford,E36006949,Thornton and Allerton,17171,1579,3649,1971,2311,1518,2505,2408,1031,199
Bradford,E36006950,Toller,19798,1249,2170,1299,4625,1431,2927,3329,2292,476
Bradford,E36006951,Tong,20268,1181,2767,1860,1715,2072,3871,4485,1971,346
Bradford,E36006952,Wharfedale,11778,3357,3794,1119,1496,548,763,514,127,60
Bradford,E36006953,Wibsey,14662,934,2422,1987,1925,1461,2299,2738,717,179
Bradford,E36006954,Windhill and Wrose,16305,1255,2967,2083,1766,1749,2754,2790,774,167
Bradford,E36006955,Worth Valley,14289,2264,3719,1363,2515,1140,1466,1485,234,103
Bradford,E36006956,Wyke,14894,1113,2699,1895,1732,1695,2321,2630,658,151
Peterborough,E36000722,Barnack,2876,780,809,267,395,198,219,181,23,4
Peterborough,E36000723,Bretton North,9311,538,1588,1254,684,1009,1763,1844,517,114
Peterborough,E36000724,Bretton South,3067,444,690,380,280,260,443,408,141,21
Peterborough,E36000725,Central,11985,703,1118,984,2058,910,2109,2750,1075,278
Peterborough,E36000726,Dogsthorpe,9579,447,1178,899,959,1098,1949,2252,709,88
Peterborough,E36000727,East,10949,558,1408,1099,1131,930,2177,2702,768,176
Peterborough,E36000728,Eye and Thorney,6123,738,1444,746,902,574,768,748,165,38
Peterborough,E36000729,Fletton and Woodston,11400,1425,2486,1313,1064,1081,1600,1904,400,127
Peterborough,E36000730,Glinton and Wittering,6732,1298,2069,798,792,650,554,452,98,21
Peterborough,E36000731,Newborough,2838,419,670,285,504,268,356,290,26,20
Peterborough,E36000732,North,6075,254,667,664,633,634,1254,1498,408,63
Peterborough,E36000733,Northborough,2684,532,715,286,499,183,242,197,20,10
Peterborough,E36000734,Orton Longueville,10038,667,1673,1254,745,1136,1894,1968,563,138
Peterborough,E36000735,Orton Waterville,8305,1412,2212,1102,753,652,945,907,249,73
Peterborough,E36000736,Orton with Hampton,13586,2410,3751,1755,1185,1147,1415,1372,437,114
Peterborough,E36000737,Park,10203,990,1728,962,1591,906,1433,2054,394,145
Peterborough,E36000738,Paston,8544,514,1296,990,738,951,1533,1825,596,101
